Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0130606856888136,0.104796725192401,0.133927940020527,0,0,0,1.3348146018366,0.00731717119287839,-3.95166411671864E-19,2.02987595928941E-21,0.00731717119287839,-7.68519617455242E-20,0.0135564188757262,0,0,0,0,0,0,package://RoboticArmUrdf/meshes/base_link.STL,1,0,0,1,0,0,0,0,0,0,package://RoboticArmUrdf/meshes/base_link.STL,,TABLE-1-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
base_support,-0.000162890713149082,-7.3240534757088E-05,0.0664450704223414,0,0,0,0.832868332393332,0.00350108503435845,-4.67330503264092E-05,-2.46721283635663E-07,0.00359380894375415,-1.80675445571452E-07,0.00325080940173649,0,0,0,0,0,0,package://RoboticArmUrdf/meshes/base_support.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://RoboticArmUrdf/meshes/base_support.STL,,BASE-1-1;Part7^ROBOTIC ARM ASSM.-1;MOTOR-1-1,Origin_base_support,Axis_base_support,base_support,fixed,0.0130606856888135,-0.160303043320073,0.104796725192401,1.5707963267949,0,0,base_link,0,0,0,,,,,,,,,,,,
rotating_base,-0.00269104666764745,-2.26128577741902E-06,0.0310765276223877,0,0,0,0.568032159474985,0.00127653342014438,6.45607624381303E-08,3.65694449931144E-05,0.00211751010326715,3.07292946051472E-08,0.0025129988786093,0,0,0,0,0,0,package://RoboticArmUrdf/meshes/rotating_base.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://RoboticArmUrdf/meshes/rotating_base.STL,,UPPER BASE ROTATING-1-1,Origin_rotating_base,Axis_rotating_base,rotating_base,fixed,0,0,0.135,0,0,0.0667915392522343,base_support,0,0,0,,,,,,,,,,,,
rotating_base_joint,-0.0549999999999999,-0.00703986656086272,-0.0523864443275936,0,0,0,0.0779202105891382,2.17852476330344E-05,-8.10741447379937E-08,1.08950162168509E-08,1.3516751184445E-05,2.62188702546664E-06,3.26749163361101E-05,0,0,0,0,0,0,package://RoboticArmUrdf/meshes/rotating_base_joint.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://RoboticArmUrdf/meshes/rotating_base_joint.STL,,ARM HOLDER-1-6;ARM HOLDER-1-5,Origin_rotating_base_joint,Axis_rotating_base_joint,rotating_base_joint,fixed,0.065071012278614,0,0,0.133583078504468,1.5707963267949,0,rotating_base,0,0,0,,,,,,,,,,,,
lower_arm,-0.155,-2.77555756156289E-16,-0.0550700000000001,0,0,0,0.247158355868061,0.000866534387061446,-2.38524477946811E-18,-3.08881451406787E-19,0.00201398604928593,-7.61067705470258E-19,0.0012313026951699,0,0,0,0,0,0,package://RoboticArmUrdf/meshes/lower_arm.STL,0.792156862745098,0.819607843137255,0.929411764705882,1,0,0,0,0,0,0,package://RoboticArmUrdf/meshes/lower_arm.STL,,ARM 1-1-1,Origin_lower_arm,Axis_lower_arm,lower_arm,fixed,0.0810710122786172,0.0297610010239274,0.021246736186644,1.5707963267949,0.848171739621261,1.5707963267949,rotating_base,0,0,0,,,,,,,,,,,,
lower_arm_joint,-0.055,-4.5102810375397E-16,-0.0390699999999915,0,0,0,0.0779202105891381,2.17852476330344E-05,3.72694496791892E-20,-2.83514661611665E-21,1.31644131887314E-05,8.13839870087848E-21,3.30272543318236E-05,0,0,0,0,0,0,package://RoboticArmUrdf/meshes/lower_arm_joint.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://RoboticArmUrdf/meshes/lower_arm_joint.STL,,ARM HOLDER-1-3;ARM HOLDER-1-4,Origin_lower_arm_joint,Axis_lower_arm_joint,lower_arm_joint,fixed,-0.311174431281139,0.0298817987387519,-0.0160000000000158,0,0,2.56722332066206,lower_arm,0,0,0,,,,,,,,,,,,
upper_arm,0.0550000000000026,-0.189183548498198,0.0390699999999916,0,0,0,0.476012561848824,0.00947889882391171,1.03776782631702E-16,-2.24747907897596E-20,0.000115722688482621,5.31255179436593E-18,0.00958668796969685,0,0,0,0,0,0,package://RoboticArmUrdf/meshes/upper_arm.STL,0.749019607843137,0.749019607843137,0,1,0,0,0,0,0,0,package://RoboticArmUrdf/meshes/upper_arm.STL,,ARM 2-1-1;ARM 2-1-2,Origin_upper_arm,Axis_upper_arm,upper_arm,fixed,-0.311174431281139,0.0298817987387519,-0.0160000000000158,-3.14159265358979,0,-0.574369332927732,lower_arm,0,0,0,,,,,,,,,,,,
upper_arm_joint,-0.055000000000017,-2.18158824338843E-14,-0.0390699999999914,0,0,0,0.0779202105891382,2.17852476330344E-05,-3.26742959403346E-19,7.10214574478763E-21,1.31644131887314E-05,-1.75376127055876E-21,3.30272543318237E-05,0,0,0,0,0,0,package://RoboticArmUrdf/meshes/upper_arm_joint.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://RoboticArmUrdf/meshes/upper_arm_joint.STL,,ARM HOLDER-1-1;ARM HOLDER-1-2,Origin_upper_arm_joint,Axis_upper_arm_joint,upper_arm_joint,fixed,0,-0.371200669102102,0,3.14159265358979,0,3.14159265358977,upper_arm,0,0,0,,,,,,,,,,,,
lower_wrist,-0.0550000000000144,-0.0303864944381415,-0.0550699999999914,0,0,0,0.0793292965742476,8.95927070134836E-05,-1.81053292475607E-19,-2.04602092850225E-22,1.08988695552488E-05,-4.26453909775066E-20,9.91694216258284E-05,0,0,0,0,0,0,package://RoboticArmUrdf/meshes/lower_wrist.STL,0.749019607843137,0.749019607843137,0,1,0,0,0,0,0,0,package://RoboticArmUrdf/meshes/lower_wrist.STL,,ARM 3-1-1;ARM 3-1-2,Origin_lower_wrist,Axis_lower_wrist,lower_wrist,fixed,0.00288582485909794,-0.388782271685086,-0.0159999999999981,-3.14159265358979,0,-2.81621620868754,upper_arm,0,0,0,,,,,,,,,,,,
middle_wrist,-0.0550000000000147,-0.084487798152163,-0.0650699999999999,0,0,0,0.041392877796077,5.43054950346831E-05,-1.60936259978317E-20,3.27684156399979E-20,4.78269819228167E-05,-3.20708133340438E-20,6.92003714169129E-06,0,0,0,0,0,0,package://RoboticArmUrdf/meshes/middle_wrist.STL,0.749019607843137,0.749019607843137,0,1,0,0,0,0,0,0,package://RoboticArmUrdf/meshes/middle_wrist.STL,,PLATE 1-1-1,Origin_middle_wrist,Axis_middle_wrist,middle_wrist,fixed,0,0,0.00999999999999916,0,0,0,lower_wrist,0,0,0,,,,,,,,,,,,
